description,years_exp,country,salary_range,job_category,job_title,required_skills
"We are looking for Consultant with hands on experience in predictive analytics and SAS to be based out of our San Francisco office.-Key Responsibilities:-Qualifications and Skills:--Does Not Matter-Under Graduate- 15k to 40k-
Data Analytics
,
Excel
,
Logistic Regression
,
R
,
Sas
,
Spss
,
Statistical Techniques
-
San Francisco
!!!Applying analytical tools and techniques and effectively communicating the results to various internal/external stakeholders.+Understand the nature, structure & quality of data, identify data issues and suggest solutions.+Execute planned analysis to meet the project objectives.+Ensure on-time & error free delivery, proactively escalate issues when required.+Technical+Data Management & Manipulation+Exploratory Analysis & Making Presentations+Using Tools like basic Excel, SAS, R, SPSS etc+Statistical Analysis & Design+Quality/Process Compliance & Improvement Initiatives+Having a complete understanding & awareness of the various internal processes, ensuring compliance to the same and suggesting process improvement initiatives+Client Servicing+Executing tasks around client servicing like proactively responding to client requests, seeking feedback etc+Observing seniors and understanding how to deal with client requests effectively.+Communication+Effectively communicating with all the internal and external stakeholders, keeping them updated on technical findings, issues or any other required project related development+48 Months (Minimum) experience in a quantitative role.+Experience in the area of contributing to Analysis by building Logistic Regression Models / Segmentation Skills+Bachelors degree (or equivalent) in a Numerical Course e.g. Statistics, Mathematics, Physics, Economics, Engineering, Computer Science, IT or equivalent+Masters qualification in statistics / engineering or similar (desired)+Strong statistical knowledge, SAS skills (data manipulation, macros, statistical procedures, etc.)",4.0,San Francisco,15k to 40k,Data_Analytics,"Consultant- CRM Analytics- San Francisco, US (4-6 Years of Experience)","Data Analytics,Excel,Logistic Regression,R,Sas,Spss,Statistical Techniques"
"Experience in SAS Administration and SAS programming (SAS Enterprise Guide, Enterprise Miner and DI studio).-Experience administering SAS platform in a multi-node GRID environment.-Experience creating and maintaining security model in SAS.-Experience troubleshooting GRID problems.-Experience monitoring grid and make sure that nodes are balanced with SAS generated code running efficiently across grid.-Experience reading through SAS logs to work through problems finding root causes and rectifying.-Experience with alternative authentication providers such as Active Directory.-Analyze compatibility of SAS products with the hardware/software.-Must have experience in Unix/Linux platform, includes Unix scripting and job scheduling.-Familiarity with SAS Access Engines, and setting up connections to Oracle and Microsoft SQL server.-Installation, Upgrade, maintenance and support of all SAS components including GRID.-Security Management - Administration of SAS Users, Groups.-Setup and Maintain Disaster Recovery services for SAS.-Respond to and resolve tickets on technical issues related to SAS Platform within defined SLA’s.-Co-ordinate with SAS Support for any unresolved issues and tool specific issues or hot fixes/patches.-Responsible for Monitoring, reporting, and controlling SAS server usage.-Creation and maintenance of system documentation related to the SAS environment.-Ability to prioritize and work on multiple tasks simultaneously.-Strong communication and organizational skills.-Ability to multi-task, prioritize and execute on assigned deliverables.----Does Not Matter-Under Graduate- 600k to 1200k-
Linux
,
Oracle
,
Sas
,
Sas Administration
,
Sas Di Studio
,
Sas Enterprise Guide
,
Sas Enterprise Miner
,
Sql Server
,
Unix
-
Bengaluru
,
Mumbai
,
Pune
!!!",5.0,"Bengaluru,Mumbai,Pune",600k to 1200k,Data_Analytics,"SAS Admin- Mumbai, Pune, Bangalore (5-6 years of experience)","Linux,Oracle,Sas,Sas Administration,Sas Di Studio,Sas Enterprise Guide,Sas Enterprise Miner,Sql Server,Unix"
"2-6 years of experience in BI and delivering end to end Web – based BI applications with good understanding of SQL Server any other BI Dashboarding tool. Understanding of OLTP vs OLAP data models and database optimization techniques.-Key Responsibilities:-Skilled professional with ability to execute projects on Web based applications in Microsoft BI and SQL Server with some client interface-Providing services directly to external clients as well as internal clients in integrated projects-Develop applications on various BI and Dashboarding requirements rich in Data Visualization.-Develop, Test and Implement solutions comprising of ETL (SSIS / Custom Code in Dot Net), Data Warehouse Design (SQL Server), Reporting and Dashboarding (SSRS) and / or web-based interface (Dot Net).-Execute end to end Projects – from Requirements gathering to final delivery-Qualifications and Skills:-Strong skills in SQL and Microsoft BI including SQL Server, SSIS, SSRS. Experience in Query Optimization, Procedures and Functions. Understanding of BI concepts - OLTP vs OLAP and deploying the applications on cloud servers. Experience in Excel-Experience in any BI / Reporting tool (preferably Tableau/Qlikview/Microstrategy).-B.Tech. / M. Sc (Computer Science) / MCA / M.Tech.-Does Not Matter-Under Graduate- 300k to 1000k-
Qlikview
,
Sql
,
Sql Server
,
Sql Server Integration Service (Ssis)
,
Sql Server Reporting Services (Ssrs)
,
Tableau
-
Gurugram
!!!",2.0,Gurugram,300k to 1000k,Data_Analytics,Sr. Programmer- MSBI- Gurgaon (2-6 Years of Experience),"Qlikview,Sql,Sql Server,Sql Server Integration Service (Ssis),Sql Server Reporting Services (Ssrs),Tableau"
"We are looking for a skilled professional with ability to lead projects on software applications, data warehousing and also work as an individual contributor in designing technical architecture of different solutions across multiple domains and internal products-Key Responsibilities:-Qualifications and Skills:-Does Not Matter-Under Graduate- 1200k to 3000k-
Bigdata
,
Java
,
Machine Learning
,
Nlp
,
Oracle
,
R
,
Sql Server
,
Text Mining
-
Gurugram
!!!Improve Data Models, Optimize databases, Optimise front end application designs across different clients / projects / platforms+Conceptualize or Design the best fit solution or tool against the requirements.+Evaluate and lead work with vendors.+Manage end to end Projects – from Requirements gathering to final delivery.+Ability to handle structured and unstructured  data with appropriate tools like Hadoop etc+10+ years of experience with minimum 6 years’ experience as an Application\Solution Architect+Broad and deep knowledge of multiple IT technology domains including software development languages and platforms, infrastructure platforms, data management and database technologies, networking technologies and security frameworks and tool.+Enterprise Integration expertise using SOA, Canonical Data Model, ESB, WebServices, Rest+Expertise in front end application design preferably in .Net or Java+Extensive expertise with variopus s/w-development methodologies; Agile-Scrum, Waterfall, RAD+Expertise in Data Modelling – both relational data modelling for transactional applications and dimensional data modelling for analytical applications+Expertise in relational databases – either of SQL Server or Oracle+Sound experience in designing database with large amount of data (Big Data)+Good in performance tuning especially tuning complex queries, procedure and indexing strategies+B.Tech. / M. Sc (Computer Science) / MCA / M.Tech.+Knowledge of R or any other Statistical Programming Language is a plusPrior experience in data mining, real-time, adaptive, probabilistic machine learning, predictive analysis, SVM, and some knowledge in NLP and text mining using Big Data",10.0,Gurugram,1200k to 3000k,Data_Analytics,Technical Architect- Gurgaon (10+ Years of Experience),"Bigdata,Java,Machine Learning,Nlp,Oracle,R,Sql Server,Text Mining"
"The ideal candidate should be eager to join a fast-growing and successful startup with a casual work environment and a fun company culture where they will be not only be challenged but also get to immediately witness and cherish their contributions to the company.-This is a very critical and “hands-on” role as part of the Core Product Development Team. The successful candidate will bring energy and enthusiasm to an Engineering team that takes pride in delivering high-quality software.-Responsibilities:-Desired skills:--** Candidate has to have strong hands-on knowledge on noSQL databases(Cassandra) **-Experience:-1-2 Years as a Strong Application Developer for Software Products or Large Applications using Relational/NoSQL Databases.--Does Not Matter-Under Graduate- 300k to 600k-
Apache Cassandra
,
Apache Spark
,
Data Analytics
,
Data Science
,
Nosql
,
Rdbms
-
Hyderabad
!!!> Develop routines using python, spark, NoSQL for exposing data to the product stack.+> Develop data mining techniques using state-of-the-art methods.+> Processing, cleansing and verifying integrity of data that is collected from transactional systems for analysis.+> Exposure to or Knowledge on NoSQL databases, preferably Cassandra and distributed computing systems like Spark is desired+> Strong knowledge of SDLC principles, processes and methodologies.+> Excellent interpersonal skills; Must be self-motivated, detail-oriented, and willing to learn. +> Excellent written and verbal communication skills.",1.0,Hyderabad,300k to 600k,Data_Analytics,Jr Data Analyst/ Data Scientist,"Apache Cassandra,Apache Spark,Data Analytics,Data Science,Nosql,Rdbms"
"We are looking for candidates with hands on experience in Big Data technologies to be based out of our Gurgaon office.-Key Responsibilities:-Qualifications and Skills:-Does Not Matter-Under Graduate- 300k to 1000k-
Flume
,
Hadoop
,
Hive
,
Mapreduce
,
Pig
,
R
,
Spark
,
Sqoop
-
Gurugram
!!!Understand the business need what kind of data, how much data, types of algorithms to be run, load on the system, budget etc.- and recommend optimal solutions+Build and implement the solution. This will need you to be hands on to build in quick prototypes / proof of concepts data processing benchmarks+Work with the operations team to build systems, process and team required to run and maintain the systems securely, reliably and in a scalable manner+Work with the analytics team to understand what data landscaping would be required+Must have 2-4 years of experience with Big Data technologies such as Hadoop and the related ecosystem+Practical experience and in-depth understanding of Map Reduce+Hands-on experience with Spark/Hive/Pig/Flume/Sqoop+Should have a good programming background with expertise in Java+Data infrastructure tools landscape e.g cloud service providers, virtualization software, system monitoring tools and development environments+Ability to program and guide junior resources on technical aspects+Ability to craft documents that can explain complex ideas in simple terms in order to build consensus or educate+Knowledge of R or any other Statistical Programming Language is a plus+Degree - Graduates/Postgraduates in CSE or related field",2.0,Gurugram,300k to 1000k,Data_Analytics,Hadoop Developer- Gurgaon (2-4 Years of Experience),"Flume,Hadoop,Hive,Mapreduce,Pig,R,Spark,Sqoop"
"Key Competencies or Skills Required to Undertake the Role The ability to work with large and complex data sets with a clear understanding of the full data ecosystem from source to the presentation layer: • Strong analytical skills • Expertise in Python • Expertise in database skills – SQL, SSIS  • Strong data analysis skills with the ability to use MS Excel, Access and other desktop products to prototype and present results • Experience developing or assisting the creation of a data warehouse or data mart, including data modelling and architecture • Understanding of Dashboards that are common across most industries, and the range of visualization methods used (e.g. bar chart, stream graph, heat map, tree map etc.)  Additional Competencies or Skills that would help Undertake the Role • Proficiency in database skills -Oracle, Teradata,  • Experience with statistical analysis and visualization software such as SAS, JMP, R, Tibco Spotfire, Qlikview, Tableau, etc. • Experience with the open-source tools HTML, JS/JQuery and ""D3.js"" • Hands-on experience with Data Query Business Intelligence Software (Business Objects, Cognos) • Familiarity with enterprise data systems and databases with experience in analyzing large, complex volume data sets (Big Data) • Knowledge of Flash, Visual Basic and HTML/JavaScript based visualization services and software libraries   Key Responsibilities A full listing of Data Visualization responsibilities would include the following: • Providing value-add analysis to Business through use of visualization software to guide analysis, drawing implications from analysis, and synthesizing into clear communications-Basic qualifications -Any graduate or Post Graduate in Engineering--Does Not Matter-Under Graduate- 500k to 1000k-
Analytics
,
Data Architect
,
Data Modeling
,
Excel
,
Html5
,
Javascript
,
Oracle
,
Python
,
Qlikview
,
R
,
Sql
,
Sql Server Integration Service (Ssis)
,
Tableau
,
Teradata
-
Mumbai
!!!",4.0,Mumbai,500k to 1000k,Data_Analytics,Marketing Analytics-Mumbai (4+ Years of Experience),"Analytics,Data Architect,Data Modeling,Excel,Html5,Javascript,Oracle,Python,Qlikview,R,Sql,Sql Server Integration Service (Ssis),Tableau,Teradata"
" Experience Level 6-7 years-Basic qualification-Graduate--Does Not Matter-Under Graduate- 500k to 1200k-
Excel
,
Sql
,
Web Analytics
-
Noida
!!!",6.0,Noida,500k to 1200k,Data_Analytics,Campaign Analytics- Noida (6-7 Years of Experience),"Excel,Sql,Web Analytics"
"  -Basic qualifications-Graduation / Post-Graduation--Does Not Matter-Under Graduate- 300k to 600k-
Business Intelligence
,
Excel
,
Financial Modeling
,
Oracle
,
Power Point
-
Noida
!!!",1.0,Noida,300k to 600k,Data_Analytics,Analytics Analyst- Noida (1-3 Years of Experience),"Business Intelligence,Excel,Financial Modeling,Oracle,Power Point"
"1.Well versed with existing open source frameworks such as NLTK and Stanford Core NLP, and have a good understanding of the underlying machine learning techniques and algorithms used to facilitate these tasks-• Deep understanding of NLP problems and experience going from raw data to choosing the right statistical model and benchmarking performance and accuracy-• Industrial experience applying machine learning techniques to NLP problems that involve large-scale data-• Experience with NLP problems such as language modelling, language identification, sentiment analysis, named entity recognition, lemmatization, summarization-• Strong working knowledge of machine learning techniques such as HMMs, maximum entropy models, boosting/decision tree, neural networks (CNN, RNN and etc.)-• Programming experience with C++, Objective C or similar object oriented languages-• Programming experience with Python-• Strong communications skills• Ability to lead an Engineering team-2. Responsible for developing engineering solutions and services for Xpresso, core text analytics engine in collaboration with the team.-3. Implement professional concepts in accordance with company objectives to solve complex problems in the field of NLP and Machine Learning in creative, innovative and effective ways.-4. Investigate, create and develop new methods and technologies for project advancement.-Skillset Required:-•Excellent programming skills (particularly Java and python)-•Experience with NLP tools, algorithms and techniques-•MSc or PhD in Computer Science, Computational Linguistics or equivalent -• 3-5 years of demonstrable NLP research and development experience in a commercial product-• Experience with voice recognition is a plus-•Updated with the latest technologies and research in the field-•Knowledge of Machine Learning-•Skills with architecting large-scale high performance distributed systems-•Technical discretion in design, execution and interpretation of experiments that contribute to project goals-Does Not Matter-Post Graduate- 700k to 1200k-
Algorithms
,
Java
,
Machine Learning
,
Nlp
,
Python
-
Calcutta
,
Pune
!!!",0.0,"Calcutta,Pune",700k to 1200k,Data_Analytics,NLP Engineer - Pune/Kolkata (3-8 Years of Experience),"Algorithms,Java,Machine Learning,Nlp,Python"
"Skilled professional with expertise in Qlikview and ability to lead projects on Business Intelligence and Data Warehousing both as an individual contributor as well as a team leader with some client interface.-Key Responsibilities:-Qualifications and Skills:--Does Not Matter-Under Graduate- 300k to 1000k-
Business Intelligence
,
Oracle
,
Qlikview
,
Rdbms
,
Sql Server
-
Gurugram
!!!Understanding objective/ requirements on various BI / Reporting projects to be developed using Qlikview tool.+Creating static / ad-hoc reports as well as dashboards using Qlikview+Understanding RDBMS like Oracle or SQL Server and writing SQL queries+Training and mentoring the team on various components of Qlikview+Manage end to end Projects – from Requirements gathering to final delivery+Strong skills in all components of Qlikview Reporting and Dashboading tool+Understanding of BI concepts and exposure to databases like SQL Server and Oracle+Understanding of integrating BI tools in web-applications or portals+B.Tech. / M. Sc (Computer Science) / MCA / M.Tech+2-6 years of experience in Qlikview Reporting and Dashboarding with understanding of BI and DWH concepts and databases like SQL Server or Oracle and ability to write SQL queries",2.0,Gurugram,300k to 1000k,Data_Analytics,Sr. programmer- Qlikview- Gurgaon (2-6 Years of Experience),"Business Intelligence,Oracle,Qlikview,Rdbms,Sql Server"
"We are looking for Manager for the Analytics team with experience of managing marketing analytics projects making significant contributions to design of analytical approach and handling the work plan. The candidate is expected to possess good Analytical, decision making & problem solving skills.-Key Responsibilities:-Project Management-People Management-Qualifications and Skills:--Tier 1: Any Degree-Post Graduate- 20k to 50k-
Analytics
,
Business Analytics
-
Chicago
,
New York
,
San Francisco
!!!Provide high-end consulting to clients at the business head level to help them sharpen their business strategy by implementing analytical models that support the realization of business objectives+Demonstrate excellence in engagement delivery, insightful thought leadership, strategic problem solving, high impact team management and strong client relations at senior executive levels+Executing and administrating analytical / modelling tools and techniques and drawing insights through statistical techniques and predictive modelling+Being a Business Consultant/Subject Matter Expert to a delivery project+Being responsible for all aspects of project to and reflect our high quality standards+Manage a team and being responsible for people management which includes coaching, mentoring & measure performance+Setting direction and inspiring team members, encouraging them to value clients and deliver high quality service+Client Servicing+Being a Business Consultant/Subject Matter Expert to a delivery project+Managing & developing existing and/or new client relationships+Applying knowledge of Analytics in different industry domains+Leading and managing multiple projects+Effectively planning, scheduling and monitoring the assigned projects.+Anticipating eventualities, identifying potential risks, developing contingency plans and regularly tracking the same to ensure timely delivery of projects+Regularly monitoring the progress of  projects involving review of all deliverables, slippages, defects, efforts etc and taking appropriate corrective and preventive measures, if required+Ensuring effective inter and intra-functional coordination and functioning, proactively addressing all issues+Being involved in people management activities including leading a medium to large sized team subject to business requirements, supporting & implementing processes like appraisals, mentoring, coaching, training, capability development etc.+Appropriately aligning responsibilities, accountability and authority for team members+Identifying development needs of team members, pro-actively developing skills that are required currently & in future, grooming them to take on additional responsibilities and facilitating their growth+Setting direction and inspiring team members, encouraging them to value clients and deliver high quality service+Good Analytical & Problem Solving Skills+Effective Decision Making Skills+Good Communication Skills: Refers to effective oral, written & presentation skill+Effective Leadership, People Management Skills+Experience of managing multiple projects, leading teams and handling client interactions in the past+Consulting Skills - Ability to impact business decisions through analytics and research+Degree :  Postgraduates from Premiere Institutes in  Economics, Statistics or other Quantitative disciplines/MBA+Relevant Experience :  8+ years of relevant experience in Analytics",8.0,"Chicago,New York,San Francisco",20k to 50k,Data_Analytics,"Analytics Manager- New York, San Francisco, Chicag (8+ Years of Experience)","Analytics,Business Analytics"
"Responsibilities:-•Manage complex technical projects and a team of software engineers-•Roll up your sleeves and code alongside your team when needed-•Provide frequent and constructive feedback-•Able to coach and mentor junior and new college graduates-•Participate in the hiring process-•Lead teams to develop and deliver AI products tailored to the specificities of each client-Skillsets Required--•Previous experience as a technical lead or manager.-•Agile development experience.-•Command of modern programming language: Python, Ruby, Java, Objective-C, C++, etc.-•Comfortable working in a UNIX environment.-Does Not Matter-Under Graduate- 300k to 700k-
-
Pune
!!!",3.0,Pune,300k to 700k,Data_Analytics,Technical Project Manager - Pune/Kolkata (3 to 7 Years of Experience),
"•Research the evolving datasets and advanced analytical techniques to develop new offerings/solutions-•Deliver client impact by collaboratively implementing these solutions-•Provide thought leadership by developing the Point of View in this spaceThe Data Science Consultant will play a critical role in designing, developing and implementing analytical techniques on large, complex, structured and unstructured data sets (including big data) to help client make better decisions in sales and marketing space, with guidance from Data Science senior leadership.Specific responsibilities include: Client impact-•Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner-•Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, figures and other relevant information-•Collaborating with clients and other stakeholders to effectively integrate and communicate analysis findings-•Providing guidance and project management support to the Associates and/or Associate Consultants on the teamResearch & firm contribution-•Evaluating emerging datasets and technologies that may contribute to our analytical platform-•Owning the development of select assets/accelerators for efficient scaling of capability-•Contributing to the thought leadership of the firm by helping in researching the evolving topics and publishing them-Qualifications:-•Educational background of Master’s or PhD in Computer Science (OR Statistics/Operations Research) from a premier instituteKey competencies-•Have a strong understanding of Natural Language Processing and a genuine appreciation for NLP research.-•Exposure in creating lexical semantic resources for NLP-based applications.-•Experience in applying ontologies to NLP applications.-•Experience with multi-lingual text mining and information retrieval.-•Experience in Social Media, Web 2.0, and Marketing domains.-•Understand the data from various sources and build models that can provide actionable insights-•Strong programming skills in at least one language – Java/Python/R-•Exposure to tools/platforms – Hadoop eco system and DB systems-•Agile project planning and project management skills-•Excellent communication skills-•Domain knowledge/expertise (Healthcare/Travel/Hi-tech/Insurance) is preferredApproach to work-•Research focused mindset with strong attention to detail-•Excellent critical thinking and problem solving skills; ability to devise a structure for solving unstructured problems / for conducting exploratory analytics-•High motivation, good work ethic and maturity-Tier 1: Any Degree-Post Graduate- 100k to 150k-
Java
,
Marketing Analytics
,
Nlp
,
Python
,

R
,
Text Mining
-
Gurugram
,
Pune
!!!",3.0,"Gurugram,Pune",100k to 150k,Data_Analytics,Data Science Consultant- Text Mining - Gurgaon/Pune (3 to 7 years of Experience),"Java,Marketing Analytics,Nlp,Python,R,Text Mining"
"1.Deep knowledge of the relevant Internet protocols such as HTTP, DNS, and familiarity with the web authoring standards such as HTML, CSS as well as de-facto data encoding, markup, and representations like JSON, XML etc. -2.Extensive knowledge of and experience with crawling web pages and building systems to do so. -3.Extensive knowledge of and experience with working with Web APIs, in particular, REST services and JSON-encoded responses -4.Experience with building systems at Internet scales, that scale to terabytes or more of data, millions of API calls, and thousands of requests/second -5.Experience with data extraction, scraping/parsing/processing semi-structured data, ETL toolsets, and mechanisms-6.Experience building robust, fault-tolerant, scalable and cost-effective distributed systems -7.Experience with Amazon Web Services or other Cloud platforms -Skillsets Required--4-6 years of experience in a related occupation that provided the required skills and abilities.-Skills: -Individuals must have demonstrable proficiency, knowledge and experience with the following specific areas:-Machine-learning, text-mining, Java, Python or natural language processing techniques. -Computational linguistics for artificial intelligence. -Lexical analysis design and implementation.-Tier 1 : Entire Education-No Restriction- 800k to 850k-
-
Pune
!!!",4.0,Pune,800k to 850k,Data_Analytics,Data Crawling Engineer - Pune/Kolkata (4 to 6 Years of Experience),
"Minimum of 1-2 years on the below skills-•Excel – mandatory (Intermediate Level) -•Power point and Presentation – mandatory (Develop content, flow, visualization) -•SAS/R – mandatory (Expert/Intermediate Level)-•SQL– mandatory (Expert level) -•Logistic and Linear Regression – mandatory (Intermediate/Expert level)-•Segmentation & Profiling – mandatory (Intermediate/Expert level)-•Experience with BI and Visualization tools like Tableau – Good to have-Additional Skills need-•Strong oral and written communication skills, as well as strong documentation and data management and analysis skills.-•Communicates key process information, deadlines, task definition, etc., to groups -•Creative approach to problem solving. -•Manage analytical projects to deliver intelligence and data discovery capabilities -•Provides information and analysis essential for planning and strategy development. -•Must have the ability to develop, own and drive processes; complete complex analysis; successfully partner with other professionals; and have strong project management skills -•Recommends and supports on-going business decisions and processes. -•As an independent professional, management provides direction primarily on new projects or assignments, as well as review of activities and priorities. - The ideal candidate will be proactive contributor on team projects, with an ability to successfully demonstrate favorable results through coaching and influencing others.-Does Not Matter-Under Graduate- 300k to 800k-
Excel
,
Linear Regression
,
Logistic Regression
,
R
,
Sas
,
Segmentation
,
Sql
,
Tableau
-
Bengaluru
!!!",2.0,Bengaluru,300k to 800k,Data_Analytics,Business Consultant - Bangalore (2+ Years of Experience ),"Excel,Linear Regression,Logistic Regression,R,Sas,Segmentation,Sql,Tableau"
"Skilled professional with expertise in Tableau and ability to lead projects on Business Intelligence and Data Warehousing both as an individual contributor as well as a team leader with some client interface.-Key Responsibilities:-Qualifications and Skills:-Does Not Matter-Under Graduate- 300k to 1200k-
Business Intelligence
,
Oracle
,
Sql Server
,
Tableau
-
Gurugram
!!!Understanding objective/ requirements on various BI / Reporting projects to be developed using Tableau tool.+Creating static / ad-hoc reports as well as dashboards using Tableau+Understanding RDBMS like Oracle or SQL Server and writing SQL queries+Training and mentoring the team on various components of Tableau+Manage end to end Projects – from Requirements gathering to final delivery+Strong skills in all components of Tableau Reporting and Dashboading tool+Understanding of BI concepts and exposure to databases like SQL Server and Oracle+Understanding of integrating BI tools in web-applications or portals+B.Tech. / BCA / B.Sc / M. Sc (Computer Science) / MCA / M.Tech+2 - 7 years of experience in Tableau Reporting and Dashboarding with understanding of BI and DWH concepts and databases like SQL Server or Oracle and ability to write SQL queries",2.0,Gurugram,300k to 1200k,Data_Analytics,Sr. Programmer/ Team Leader- Tableau- Gurgaon (2-7 Years of Experience),"Business Intelligence,Oracle,Sql Server,Tableau"
"You will work on sentiment analysis, information retrieval and other related areas. Develops software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle. Experience with part of speech taggers, NER, resolving semantic disambiguity, syntactic parsers is very essential. Collaborate closely with fellow architects, engineers and product management to ensure functionality is designed properly so that it’s stable, scalable, usable, of high quality and meets customer needs. Should collaborate with the testers and ensure quality and quantity of testing, dataset preparation and annotation etc. He will also lead the effort in fixes, improvements and enhancements based on the testing outcomes. Research, experiment, and build prototypes using new technologies such as machine learning and natural language processing applicable to the proposed solutions. Partner with external teams to understand frameworks or tools being developed elsewhere to identify areas where the team can leverage, co-develop, or share technologies. Participate in scientific conferences and make contributions to publications, research journal write up and patents. Take part in company’s Intellectual Property submissions, lucid problem conceptualizations, institutional innovations and subsequent benchmarking.  -Requirements:-•Excellent programming skills (particularly Java)-•Experience with NLP tools, algorithms and techniques-•Updated with the latest technologies and research in the field-•Knowledge of Machine Learning•Skills with architecting large-scale high performance distributed systems-•Technical discretion in design, execution and interpretation of experiments that contribute to project goals-We are a well funded, revenue generating company looking to augment our highly talented text analytics R&D team. You will be working on our core XPRESSO text analytics engine that takes in unstructured text from various sources and finds key hidden insights. We are on our way to building the best analytics engine there is. We are able to look at a statement such as “This washer uses a lot of power” and understand that this represents a negative sentiment in an unsupervised way. If you are able to see why this is hard to do (sentiment lexicons fail on this), we’ll like to talk with you.You should be totally comfortable producing production level code in addition to evaluating the relative merits of various academic papers. We come up with and implement bleeding edge NLP algorithms on a daily basis and you should be excited at the prospect of doing the same.As part of the organization, you’ll have the perfect opportunity to grow and develop your skills in a highly relevant industry vertical (NLP, machine learning). You will also get the opportunity to directly interact with some of the most renowned academics in the field of NLP.Research is centered around the domain of data sciences on structured and unstructured data, using big data analytics, social media analytics, natural language processing, machine learning algorithms, statistical modeling, predictive analytics, information retrieval, artificial intelligence, text analytics and processing, knowledge-base buildup, pattern recognition, and semantic parsing.-As part of your role as a Senior Software Engineer, NLP, you will:-•work with the product team to flush out product level details-•develop methodologies for evaluating precision and recall-•Participate in scientific conferences and make contributions to publications, research journal write ups and patents.-Requirements:-•MS/PhD in Natural Language Processing or related field-•Excellent Java skills•Out of box thinking ability-•Skills with architecting large-scale high performant distributed systems-•Technical discretion in design, execution and interpretation of experiments that contribute to project goals.-Desired Skills and Experience-•MS/PhD in Natural Language Processing or related field-•Excellent Java skills-•Out of box thinking ability-•Skills with architecting large-scale high performant distributed systems-•Technical discretion in design, execution and interpretation of experiments that contribute to project goals.-Does Not Matter-Post Graduate- 900k to 1500k-
Java
,
Machine Learning
,
Nlp
-
Kolkata
,
Pune
!!!",3.0,"Kolkata,Pune",900k to 1500k,Data_Analytics,NLP Engineer – Pune / Kolkata ( 3-8 Years of Experience ),"Java,Machine Learning,Nlp"
"A Senior Analyst is in a role that requires thorough understanding of Marketing and Customer Data, Relational Database Models and working knowledge of SQL queries. It is implied that the individual has a strong analytical bent of mind and an urge to solve problems through the effective usage of Microsoft Excel, PowerPoint, Relational Database Models, SQL and SAS.In-depth understanding and some working knowledge of Marketing and Customer data is necessary. The individual is expected to own and take initiative with a zeal to execute projects with minimum guidance from Consultants.-Competencies and Skills.- A strong analytical bent of mind with a penchant for problem solving and trouble shooting.- Knowledge and understanding of quantitative and statistical analysis is required.- Must have a thorough understanding & some working knowledge of marketing and customer data, relational database models, and experience in SQL queries.- Expertise in Microsoft Excel, Microsoft PowerPoint is needed and knowledge of SAS is preferable.- Listen clearly, communicate effectively, and observe minutely.- Be a good team player.- Begin to take preliminary steps towards Client facing and handling.-Education and Experience:- 2 yrs. of Analytics/related experience in IT/ITES and basic SQL Skills mandatory against a Bachelor’s Degree. (BE/B.Tech or Honors in Economics, Math, Statistics)- Master’s degree from a premier Institute is mandatory if an individual doesn’t have any past experience. Candidate is expected to have proficient knowledge of Excel, Macros, VBA, SAS & SQL.- Good Understanding of Marketing and Customer Profiling.-Tier 1: Any Degree-Post Graduate- 400k to 800k-
Excel
,
Sas
,
Sql
-
Ahmedabad
!!!",2.0,Ahmedabad,400k to 800k,Data_Analytics,Senior Analyst – Ahmedabad (2 years of experience),"Excel,Sas,Sql"
"- Implement advanced strategies for gathering, reviewing and analyzing data requirements. - Prioritize requirements and create conceptual prototypes and mock-ups. - Drive analysis on globe-spanning projects and important strategic decisions. - Coordinate with other members of the various operations, retail, sales and marketing team to measure the impact and efficiency of new products and business processes. - Identify operational weaknesses and help improve or innovate new processes to keep local teams as efficient as possible. - Build, maintain, and communicate detailed reporting models to assist city-level, regional, and global managers -Experience & Skills Required:-- 2-4 year or more experience in data analytics and strategy - Experience with SQL programming a must (good to have - Python, SAS, Tableau, Power BI) - Strong command over Advance MS Excel. - Good communication skills. Candidate would be required to have many discussion with higher management and business heads.-Does Not Matter-Under Graduate- 1000k to 1300k-
Excel
,
Power Bi
,
Python
,
Sas
,
Sql
,
Tableau
-
Bengaluru
!!!",5.0,Bengaluru,1000k to 1300k,Data_Analytics,Manager- Analytics- Bangalore (5-7 Years Of Experience),"Excel,Power Bi,Python,Sas,Sql,Tableau"
